央视,#genre#

CCTV1,http://192.168.200.1:8888/udp/239.76.253.151:9000
CCTV2,http://192.168.200.1:8888/udp/239.76.253.152:9000
CCTV3,http://192.168.200.1:8888/udp/239.76.253.153:9000
CCTV4,http://192.168.200.1:8888/udp/239.76.253.154:9000
CCTV5,http://192.168.200.1:8888/udp/239.76.253.155:9000
CCTV5+,http://192.168.200.1:8888/udp/239.76.253.168:9000
CCTV6,http://192.168.200.1:8888/udp/239.76.253.156:9000
CCTV7,http://192.168.200.1:8888/udp/239.76.253.157:9000
CCTV8,http://192.168.200.1:8888/udp/239.76.253.158:9000
CCTV9,http://192.168.200.1:8888/udp/239.76.253.159:9000
CCTV10,http://192.168.200.1:8888/udp/239.76.253.160:9000
CCTV11,http://192.168.200.1:8888/udp/239.76.252.251:9000
CCTV12,http://192.168.200.1:8888/udp/239.76.253.162:9000
CCTV13,http://192.168.200.1:8888/udp/239.76.253.93:9000
CCTV14,http://192.168.200.1:8888/udp/239.76.253.164:9000
CCTV15,http://192.168.200.1:8888/udp/239.76.252.252:9000
CCTV16,http://192.168.200.1:8888/udp/239.76.253.98:9000
CCTV17,http://192.168.200.1:8888/udp/239.76.252.238:9000

CCTV1,http://ip.52kk.vip:4022/udp/239.76.253.151:9000$湖南电信
CCTV2,http://ip.52kk.vip:4022/udp/239.76.253.152:9000$湖南电信
CCTV3,http://ip.52kk.vip:4022/udp/239.76.253.153:9000$湖南电信
CCTV4,http://ip.52kk.vip:4022/udp/239.76.253.154:9000$湖南电信
CCTV5,http://ip.52kk.vip:4022/udp/239.76.253.155:9000$湖南电信
CCTV5+,http://ip.52kk.vip:4022/udp/239.76.253.168:9000$湖南电信
CCTV6,http://ip.52kk.vip:4022/udp/239.76.253.156:9000$湖南电信
CCTV7,http://ip.52kk.vip:4022/udp/239.76.253.157:9000$湖南电信
CCTV8,http://ip.52kk.vip:4022/udp/239.76.253.158:9000$湖南电信
CCTV9,http://ip.52kk.vip:4022/udp/239.76.253.159:9000$湖南电信
CCTV10,http://ip.52kk.vip:4022/udp/239.76.253.160:9000$湖南电信
CCTV11,http://ip.52kk.vip:4022/udp/239.76.252.251:9000$湖南电信
CCTV12,http://ip.52kk.vip:4022/udp/239.76.253.162:9000$湖南电信
CCTV13,http://ip.52kk.vip:4022/udp/239.76.253.93:9000$湖南电信
CCTV14,http://ip.52kk.vip:4022/udp/239.76.253.164:9000$湖南电信
CCTV15,http://ip.52kk.vip:4022/udp/239.76.252.252:9000$湖南电信
CCTV16,http://ip.52kk.vip:4022/udp/239.76.253.98:9000$湖南电信
CCTV17,http://ip.52kk.vip:4022/udp/239.76.252.238:9000$湖南电信

CCTV1,http://192.168.200.1:8888/udp/239.76.246.151:1234
CCTV2,http://192.168.200.1:8888/udp/239.76.246.152:1234
CCTV3,http://192.168.200.1:8888/udp/239.76.246.153:1234
CCTV4,http://192.168.200.1:8888/udp/239.76.246.154:1234
CCTV4,http://192.168.200.1:8888/udp/239.76.245.195:1234
CCTV5,http://192.168.200.1:8888/udp/239.76.247.214:1234
CCTV5,http://192.168.200.1:8888/udp/239.76.246.155:1234
CCTV5+,http://192.168.200.1:8888/udp/239.76.247.215:1234
CCTV5+,http://192.168.200.1:8888/udp/239.76.246.168:1234
CCTV6,http://192.168.200.1:8888/udp/239.76.246.156:1234
CCTV7,http://192.168.200.1:8888/udp/239.76.246.157:1234
CCTV8,http://192.168.200.1:8888/udp/239.76.246.158:1234
CCTV9,http://192.168.200.1:8888/udp/239.76.246.159:1234
CCTV10,http://192.168.200.1:8888/udp/239.76.246.160:1234
CCTV11,http://192.168.200.1:8888/udp/239.76.245.251:1234
CCTV12,http://192.168.200.1:8888/udp/239.76.246.162:1234
CCTV13,http://192.168.200.1:8888/udp/239.76.246.93:1234
CCTV14,http://192.168.200.1:8888/udp/239.76.246.164:1234
CCTV15,http://192.168.200.1:8888/udp/239.76.245.252:1234
CCTV16,http://192.168.200.1:8888/udp/239.76.246.98:1234
CCTV17,http://192.168.200.1:8888/udp/239.76.245.238:1234

央视台球,http://192.168.200.1:8888/udp/239.76.254.58:9000
世界地理,http://192.168.200.1:8888/udp/239.76.254.57:9000
兵器科技,http://192.168.200.1:8888/udp/239.76.254.59:9000
第一剧场,http://192.168.200.1:8888/udp/239.76.247.49:1234
兵器科技,http://192.168.200.1:8888/udp/239.76.247.59:1234
电视指南,http://192.168.200.1:8888/udp/239.76.247.61:1234
风云音乐,http://192.168.200.1:8888/udp/239.76.247.51:1234
风云剧场,http://192.168.200.1:8888/udp/239.76.247.50:1234
风云足球,http://192.168.200.1:8888/udp/239.76.247.52:1234
高尔夫网球,http://192.168.200.1:8888/udp/239.76.247.62:1234
怀旧剧场,http://192.168.200.1:8888/udp/239.76.247.53:1234
